date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2021-09-23,144.09461975097656,170.8000030517578,140.54408264160156,344.3371887207031,290.87078857421875,22.43985939025879,251.2133331298828
2021-09-24,144.18292236328125,171.2760009765625,141.53831481933594,351.30426025390625,290.6669006347656,22.039608001708984,258.1300048828125
2021-09-27,142.6618194580078,170.2899932861328,140.4007568359375,351.9213562011719,285.6371765136719,21.61939811706543,263.78668212890625
2021-09-28,139.2662811279297,165.79800415039062,135.18368530273438,339.0520324707031,275.296142578125,20.660202026367188,259.1866760253906
2021-09-29,140.1691436767578,165.05599975585938,133.7142333984375,338.0169372558594,275.7622375488281,20.478544235229492,260.4366760253906
2021-09-30,138.86392211914062,164.2519989013672,133.03993225097656,337.7979736328125,273.7425537109375,20.677173614501953,258.49334716796875
2021-10-01,139.99246215820312,164.16299438476562,135.893310546875,341.4009704589844,280.71417236328125,20.703123092651367,258.40667724609375
2021-10-04,136.54786682128906,159.48899841308594,133.02352905273438,324.69970703125,274.89801025390625,19.695016860961914,260.510009765625
2021-10-05,138.48117065429688,161.0500030517578,135.3757781982422,331.39813232421875,280.3841857910156,20.41266632080078,260.1966552734375
2021-10-06,139.35459899902344,163.10049438476562,136.91043090820312,332.0749816894531,284.60791015625,20.66119956970215,260.9166564941406
2021-10-07,140.62057495117188,165.1215057373047,138.56256103515625,327.6756286621094,286.2974853515625,21.03550148010254,264.53668212890625
2021-10-08,140.23782348632812,164.43099975585938,139.12039184570312,328.5017395019531,286.2974853515625,20.791954040527344,261.8299865722656
2021-10-11,140.1494903564453,162.31500244140625,138.25302124023438,323.9233703613281,285.6954650878906,20.656208038330078,263.9800109863281
2021-10-12,138.87371826171875,162.3665008544922,135.7997589111328,322.2511901855469,284.3846130371094,20.632253646850586,268.5733337402344
2021-10-13,138.28488159179688,164.21400451660156,136.92735290527344,323.01763916015625,287.715087890625,20.899747848510742,270.3599853515625
2021-10-14,141.08181762695312,164.9929962158203,140.4793701171875,326.9888916015625,293.9682922363281,21.70524024963379,272.7733459472656
2021-10-15,142.14169311523438,170.4510040283203,140.69534301757812,323.2366027832031,295.3860168457031,21.82102394104004,281.010009765625
2021-10-18,143.81982421875,172.33700561523438,142.0986328125,333.7669372558594,298.37664794921875,22.180349349975586,290.03668212890625
2021-10-19,145.9886474609375,172.20750427246094,142.55543518066406,338.3951416015625,299.2893371582031,22.24821662902832,288.0899963378906
2021-10-20,146.47933959960938,170.7530059814453,141.0944366455078,339.18145751953125,298.4931335449219,22.061565399169922,288.6000061035156
2021-10-21,146.6952667236328,171.75050354003906,141.2108917236328,340.2762756347656,301.7459716796875,22.649465560913086,298.0
2021-10-22,145.91995239257812,166.77749633789062,136.91192626953125,323.0872802734375,300.19244384765625,22.68340301513672,303.2266540527344
2021-10-25,145.87091064453125,166.01849365234375,136.79299926757812,327.14813232421875,299.19232177734375,23.12257957458496,341.6199951171875
2021-10-26,146.53823852539062,168.80349731445312,138.6456298828125,314.3285217285156,301.1147766113281,24.670669555664062,339.4766540527344
